City,Lat,Lng,Max_temp,Humidity,Cloudiness,Wind_speed,Country,Date
mogadishu,2.0371,45.3438,78.67,89,75,14.97,SO,1630388536
mokobeng,-22.9965,27.6678,61.83,43,0,1.05,BW,1630388786
mongo,12.1844,18.693,79.12,75,94,3.15,TD,1630388757
morondava,-20.2833,44.2833,75.31,54,0,3.69,MG,1630388782
moshenskoye,58.5102,34.5911,55.96,85,100,7.63,RU,1630388680
moundou,8.5667,16.0833,70.63,92,100,3.2,TD,1630388702
mount gambier,-37.8333,140.7667,62.51,67,90,21.85,AU,1630388733
muros,42.7762,-9.0603,63.99,94,81,4.5,ES,1630388565
mvuma,-19.2792,30.5283,63.91,54,0,3.27,ZW,1630388688
namatanai,-3.6667,152.4333,84.74,70,18,9.69,PG,1630388658
namibe,-15.1961,12.1522,62.62,77,2,2.68,AO,1630388668
nanortalik,60.1432,-45.2371,45.28,94,100,2.46,GL,1630388709
nantucket,41.2835,-70.0995,75.0,94,90,9.22,US,1630388516
nanyamba,-10.6833,39.8333,76.93,57,46,10.58,TZ,1630388546
naron,43.5167,-8.1528,64.04,89,94,5.53,ES,1630388676
narsaq,60.9167,-46.05,48.63,76,100,2.21,GL,1630388622
naze,28.3667,129.4833,85.12,64,5,6.55,JP,1630388760
necochea,-38.5473,-58.7368,57.09,88,77,11.23,AR,1630388675
neepawa,50.2289,-99.4664,57.6,76,3,3.65,CA,1630388775
neuquen,-38.9516,-68.0591,49.89,71,0,2.3,AR,1630388308
new norfolk,-42.7826,147.0587,63.9,70,100,7.0,AU,1630388553
nhulunbuy,-12.2333,136.7667,84.81,74,75,16.11,AU,1630388763
nikolskoye,59.7035,30.7861,55.29,81,34,5.48,RU,1630388545
nilai,2.8169,101.7956,87.48,70,40,3.44,MY,1630388784
nishihara,26.1842,127.7558,88.88,58,20,9.22,JP,1630388608
nome,64.5011,-165.4064,48.27,93,90,5.75,US,1630388719
norman wells,65.282,-126.8329,53.64,71,20,5.75,CA,1630388438
nouadhibou,20.931,-17.0347,73.38,78,0,25.32,MR,1630388684
novochernorechenskiy,56.2669,91.0828,56.39,52,100,6.58,RU,1630388687
ntcheu,-14.8203,34.6359,66.92,54,1,2.98,MW,1630388606
nuuk,64.1835,-51.7216,41.61,81,4,4.61,GL,1630388550
nyurba,63.2842,118.3319,56.61,42,35,4.38,RU,1630388699
odweyne,9.4092,45.064,79.79,42,30,23.42,SO,1630388630
okhotsk,59.3833,143.3,62.6,65,68,6.64,RU,1630388711
omaruru,-21.4333,15.9333,63.27,10,0,4.12,NA,1630388634
